ability_id,dname,behavior,desc
5003,antimage_mana_break,['Passive'],Burns an opponent's mana on each attack.  Mana Break deals 50% of the mana burned as damage to the target.
5004,antimage_blink,['Point Target'],Short distance teleportation that allows Anti-Mage to move in and out of combat.
5005,antimage_spell_shield,['Passive'],"Increases Anti-Mage's resistance to magic damage.

Upgradable by Aghanim's Scepter."
7314,antimage_counterspell,"['No Target', 'Instant Cast']",Passively grants you magic resistance. Can be activated to create an anti-magic shell around you that sends any targeted spells back towards enemies instead of affecting you.
5006,antimage_mana_void,"['Unit Target', 'AOE']","For each point of mana missing by the target unit, damage is dealt to it and surrounding enemies.  The main target is also mini-stunned."
5007,axe_berserkers_call,['No Target'],"Axe taunts nearby enemy units, forcing them to attack him, while he gains bonus armor during the duration."
5008,axe_battle_hunger,['Unit Target'],"Enrages an enemy unit, causing it to be slowed and take damage over time until it kills another unit or the duration ends. Axe gains movement speed for each unit affected with Battle Hunger.

Upgradable by Aghanim's Scepter."
5009,axe_counter_helix,['Passive'],"When attacked, Axe performs a helix counter attack, dealing pure damage to all nearby enemies."
5010,axe_culling_blade,['Unit Target'],"Axe spots a weakness and strikes, instantly killing an enemy unit with low health, or dealing moderate damage otherwise. When an enemy hero is killed with Culling Blade, its cooldown is reset, and Axe and nearby allied units gain bonus movement speed."
5012,bane_enfeeble,['Unit Target'],Lower's the target's status resistance and attack speed. 
5011,bane_brain_sap,['Unit Target'],"Feasts on the vital energies of an enemy unit, healing Bane and dealing damage.

Upgradable by Aghanim's Scepter."
5013,bane_fiends_grip,"['Unit Target', 'Channeled']","CHANNELED - Grips an enemy unit, disabling it and causing heavy damage over time, while stealing mana every 0.5 seconds based on the unit's maximum mana."
5014,bane_nightmare,['Unit Target'],"Puts the target enemy or friendly Hero to sleep. Sleeping units are awakened when attacked, but the Nightmare passes to the attacking unit. Bane can attack nightmared targets freely."
5523,bane_nightmare_end,"['Hidden', 'No Target']",Ends all ongoing Nightmares.
5015,bloodseeker_bloodrage,['Unit Target'],"Drives a unit into a bloodthirsty rage during which a unit deals, and takes, increased damage. Units affected by Bloodrage will be healed for a percentage of the max health of any units they kill. Units affected by Bloodrage when killed will heal a percentage of their max health to their killer. If you do not get the last hit, but are within 300 AoE of the dying hero, you will take 50% of the heal."
5016,bloodseeker_blood_bath,"['AOE', 'Point Target']","Bloodseeker baptizes an area in sacred blood. After 3 seconds the ritual completes, causing any enemies caught in the area to take damage and become silenced."
5017,bloodseeker_thirst,['Passive'],"Bloodseeker is invigorated by the wounds of his enemies, gaining bonus movement speed and attack speed whenever an enemy hero's health falls below 75%, with the bonuses increasing as their health falls further. If an enemy hero's health falls below 25%, he will also gain vision and True Sight of that hero. Bonuses stack per hero."
5018,bloodseeker_rupture,['Unit Target'],"Causes an enemy unit's skin to rupture. If the unit moves, it takes a percentage of current health as damage per 100 units moved.  The damage is dealt through spell immunity.

Upgradable by Aghanim's Scepter."
5019,drow_ranger_frost_arrows,"['Unit Target', 'Autocast', 'Attack Modifier']","Adds a freezing effect to Drow's attacks, slowing enemy movement.  Lasts 1.5 seconds on Heroes, and 7 seconds on creeps."
5020,drow_ranger_silence,"['AOE', 'Point Target']",Stops all enemy units in a target area from casting spells.
5632,drow_ranger_wave_of_silence,['Point Target'],Releases a wave that silences and knocks back enemy units. Knockback distance is relative to how close they are to you.
5021,drow_ranger_trueshot,"['No Target', 'Instant Cast']","Adds bonus attack speed to allied, ranged Hero units based on a percentage of Drow's agility.  Affects creeps for 30 seconds when cast."
5022,drow_ranger_marksmanship,['Passive'],"Drow's experiences in battle grant her a chance to launch arrows with incredible accuracy and effectiveness. Pierces through the enemy's defenses, ignoring their armor entirely. Instantly kills creeps and deals bonus proc physical damage to heroes. This ability is disabled if there is an enemy hero within 400 range. 

Upgradable by Aghanim's Scepter."
5023,earthshaker_fissure,['Point Target'],"Slams the ground with a mighty totem, creating an impassable ridge of stone while stunning and damaging enemy units along its line."
5024,earthshaker_enchant_totem,['No Target'],"Empowers Earthshaker's totem, causing it to deal extra damage on the next attack.

Upgradable by Aghanim's Scepter."
5025,earthshaker_aftershock,['Passive'],"Causes the earth to shake underfoot, adding additional damage and stuns to nearby enemy units when Earthshaker casts his abilities."
5026,earthshaker_echo_slam,['No Target'],"Shockwaves travel through the ground, damaging enemy units.  Each enemy hit causes an echo to damage nearby units. Real heroes cause two echoes."
5027,juggernaut_blade_dance,['Passive'],Gives Juggernaut a chance to deal critical damage on each attack.
5028,juggernaut_blade_fury,"['No Target', 'Instant Cast', None]","Causes a bladestorm of destructive force around Juggernaut, rendering him immune to magic and dealing damage to nearby enemy units. 

DISPEL TYPE: Basic Dispel"
5029,juggernaut_healing_ward,"['AOE', 'Point Target']","Summons a Healing Ward which heals all nearby allied units, based on their max health.  The Healing Ward moves at 350 movement speed after being summoned.  Lasts 25 seconds."
5030,juggernaut_omni_slash,['Unit Target'],"Juggernaut leaps towards the target enemy unit with an attack, and then slashes other nearby enemy units at an increased attack rate. Juggernaut is invulnerable for the duration.

Upgradable by Aghanim's Scepter."
5031,kunkka_torrent,"['AOE', 'Point Target']","Summons a rising torrent that, after a short delay, hurls enemy units into the sky, stunning, dealing damage and slowing movement speed."
5032,kunkka_tidebringer,"['Unit Target', 'Autocast', 'Attack Modifier']",Kunkka's legendary sword grants increased damage and cleaves a large area of effect in front of him for a single strike.
5033,kunkka_x_marks_the_spot,['Unit Target'],"Targets a friendly or enemy Hero, marks their position with an X, and returns them to it after several seconds.  Kunkka can trigger the return at any time during the duration. Lasts twice as long on allied heroes."
5034,kunkka_return,"['Hidden', 'No Target']",Returns the marked hero to the X.
5035,kunkka_ghostship,"[None, 'Point Target']","Summons a ghostly ship that sails through the battle before smashing apart, damaging and stunning all enemies caught near the wreckage. Allied heroes touched by the Ghostship are given a swig of The Admiral's Rum, receiving bonus movement speed and a delayed reaction to incoming damage.

Upgradeable by Aghanim's Scepter."
5040,lina_dragon_slave,"['Unit Target', 'Point Target']","Lina channels the breath of a dragon, sending out a wave of fire that scorches every enemy in its path."
5041,lina_light_strike_array,"['Point Target', 'AOE']",Summons a column of flames that damages and stuns enemies.
5042,lina_fiery_soul,['Passive'],Grants bonus attack and movement speed each time Lina casts a spell. Stacks with itself. Lasts 10 seconds.
5043,lina_laguna_blade,['Unit Target'],"Fires off a bolt of lightning at a single enemy unit, dealing massive damage.

Upgradable by Aghanim's Scepter."
5044,lion_impale,"['Point Target', 'Unit Target']","Rock spikes burst from the earth along a straight path. Enemy units are hurled into the air, then are stunned and take damage when they fall."
5045,lion_voodoo,['Unit Target'],"Transforms an enemy unit into a harmless beast, with all special abilities disabled."
5046,lion_mana_drain,"['Unit Target', 'Channeled']",CHANNELED - Absorbs the magical energies of a target enemy unit by taking mana from it every second.
5047,lion_finger_of_death,"['Unit Target', 'AOE']","Rips at an enemy unit, trying to turn it inside-out. Deals massive damage and grows stronger with each life it consumes.

Upgradable by Aghanim's Scepter."
5048,mirana_arrow,"[None, 'Point Target']","Fires a long-range arrow with deadly precision, which stuns and damages the first enemy unit it strikes. The stun duration ranges from 0.01 to 5 seconds, with bonus damage up to 140 added, based on the distance the arrow travels to its target. Instantly kills the first non-ancient creep it hits."
5049,mirana_invis,['No Target'],"Turns Mirana and all allied heroes invisible. If a hero is revealed, invisibility will restore after the fade delay as long as Moonlight Shadow's duration has not expired."
5050,mirana_leap,['No Target'],"Mirana leaps forward into battle, empowering herself with a ferocious roar that grants bonus attack and movement speed. Speed bonus lasts 2.5 seconds."
5051,mirana_starfall,['No Target'],"Calls down a wave of meteors to damage nearby enemy units. The closest enemy unit to Mirana in a 425 radius will be struck a second time for 75% of the damage.

Upgradable by Aghanim's Scepter."
5052,morphling_waveform,['Point Target'],"Morphling dissolves into liquid and surges forward, damaging enemy units in his path.  Morphling is invulnerable during Waveform."
5053,morphling_adaptive_strike_agi,['Unit Target'],"Launches a surge of water toward an enemy unit, dealing base damage plus additional damage based on Morphling's agility times a multiplier.  If Morphling's agility is 50% higher than strength, the maximum damage is dealt."
7000,morphling_adaptive_strike_str,['Unit Target'],"Launches a surge of water toward an enemy unit, stunning and knocking back the target based on Morphling's strength. If his strength is 50% higher than his agility, the maximum stun/knockback is dealt."
5054,morphling_morph,['Hidden'],
5055,morphling_morph_agi,['No Target'],"Morphling shifts its form, pulling points from Strength and pouring them into Agility. The process is reversible.  Additional points in Attribute Shift increase the rate of stat change.  Passively grants bonus Agility."
5056,morphling_morph_str,['No Target'],"Morphling shifts its form, pulling points from Agility and pouring them into Strength. The process is reversible.  Additional points in Attribute Shift increase the rate of stat change.  Passively grants bonus Strength."
